plot,pd,rate,canopy_percent,canopy_ratio
104,9/20/21,0,8.44,0.0844
201,9/20/21,0,2.57,0.0257
304,9/20/21,0,3.41,0.0341
405,9/20/21,0,2.13,0.0213
105,9/20/21,15,31.47,0.3147
206,9/20/21,15,25.06,0.2506
305,9/20/21,15,29.05,0.2905
401,9/20/21,15,32.43,0.3243
101,9/20/21,30,38.83,0.3883
202,9/20/21,30,23.89,0.2389
306,9/20/21,30,40,0.4
402,9/20/21,30,42.28,0.4228
103,9/20/21,60,52.2,0.522
205,9/20/21,60,31.78,0.3178
302,9/20/21,60,35.31,0.3531
406,9/20/21,60,48.58,0.4858
106,9/20/21,90,57.14,0.5714
203,9/20/21,90,36.96,0.3696
303,9/20/21,90,28.37,0.2837
403,9/20/21,90,44.91,0.4491
102,9/20/21,120,60.58,0.6058
204,9/20/21,120,36.85,0.3685
301,9/20/21,120,45.17,0.4517
404,9/20/21,120,59.12,0.5912
109,9/29/21,0,1.36,0.0136
208,9/29/21,0,0.92,0.0092
307,9/29/21,0,0.16,0.0016
411,9/29/21,0,1.19,0.0119
110,9/29/21,15,23.17,0.2317
207,9/29/21,15,11.2,0.112
312,9/29/21,15,18.09,0.1809
412,9/29/21,15,6.83,0.0683
108,9/29/21,30,27.42,0.2742
212,9/29/21,30,22.13,0.2213
309,9/29/21,30,17.68,0.1768
408,9/29/21,30,28.06,0.2806
107,9/29/21,60,36.88,0.3688
210,9/29/21,60,28.12,0.2812
311,9/29/21,60,35.85,0.3585
409,9/29/21,60,41.34,0.4134
112,9/29/21,90,59.37,0.5937
211,9/29/21,90,27.89,0.2789
308,9/29/21,90,26.54,0.2654
407,9/29/21,90,41.09,0.4109
111,9/29/21,120,61.29,0.6129
209,9/29/21,120,48.6,0.486
310,9/29/21,120,45.34,0.4534
410,9/29/21,120,34.46,0.3446
114,10/7/21,0,0.01,0.0001
213,10/7/21,0,0.06,0.0006
316,10/7/21,0,0.01,0.0001
418,10/7/21,0,0.01,0.0001
118,10/7/21,15,4.17,0.0417
217,10/7/21,15,3.87,0.0387
315,10/7/21,15,10.47,0.1047
417,10/7/21,15,7.24,0.0724
113,10/7/21,30,6.75,0.0675
214,10/7/21,30,18.68,0.1868
317,10/7/21,30,16.21,0.1621
415,10/7/21,30,15.75,0.1575
116,10/7/21,60,31.45,0.3145
218,10/7/21,60,28.37,0.2837
318,10/7/21,60,22.33,0.2233
413,10/7/21,60,26.97,0.2697
117,10/7/21,90,41.76,0.4176
215,10/7/21,90,44.42,0.4442
313,10/7/21,90,26.39,0.2639
416,10/7/21,90,27.44,0.2744
115,10/7/21,120,45.01,0.4501
216,10/7/21,120,36.52,0.3652
314,10/7/21,120,48,0.48
414,10/7/21,120,38.71,0.3871
121,10/13/21,0,0,0
223,10/13/21,0,0.35,0.0035
322,10/13/21,0,0.09,0.0009
419,10/13/21,0,0.02,0.0002
120,10/13/21,15,3.76,0.0376
224,10/13/21,15,1.82,0.0182
324,10/13/21,15,5.87,0.0587
424,10/13/21,15,2.75,0.0275
122,10/13/21,30,6.37,0.0637
219,10/13/21,30,5.39,0.0539
321,10/13/21,30,10.14,0.1014
420,10/13/21,30,8.06,0.0806
119,10/13/21,60,9.6,0.096
220,10/13/21,60,12.94,0.1294
320,10/13/21,60,12.72,0.1272
423,10/13/21,60,13.05,0.1305
124,10/13/21,90,21.84,0.2184
222,10/13/21,90,18.04,0.1804
323,10/13/21,90,19.38,0.1938
422,10/13/21,90,17.56,0.1756
123,10/13/21,120,22.69,0.2269
221,10/13/21,120,15.32,0.1532
319,10/13/21,120,27.92,0.2792
421,10/13/21,120,30.75,0.3075
129,10/20/21,0,0.01,0.0001
230,10/20/21,0,0.4,0.004
325,10/20/21,0,0.03,0.0003
428,10/20/21,0,0.02,0.0002
127,10/20/21,15,0.11,0.0011
225,10/20/21,15,0.08,0.0008
326,10/20/21,15,0.19,0.0019
430,10/20/21,15,0.66,0.0066
126,10/20/21,30,1.15,0.0115
227,10/20/21,30,1.27,0.0127
329,10/20/21,30,0.74,0.0074
425,10/20/21,30,0.29,0.0029
128,10/20/21,60,1.17,0.0117
229,10/20/21,60,1.16,0.0116
327,10/20/21,60,5.12,0.0512
427,10/20/21,60,3.39,0.0339
125,10/20/21,90,2.95,0.0295
228,10/20/21,90,2.15,0.0215
328,10/20/21,90,5.78,0.0578
429,10/20/21,90,5.15,0.0515
130,10/20/21,120,1.78,0.0178
226,10/20/21,120,2.15,0.0215
330,10/20/21,120,7.43,0.0743
426,10/20/21,120,3.66,0.0366
,,,,