site,pd,asym,se.asym,lrc,se.lrc,sig.asym,sig.lrc,resid.se,df
vt,1,6986.707,421.6469,-2.698538,0.2859524,y,y,1283.947,110
vt,1.5,6040.741,494.9034,-3.313381,0.2814772,y,y,1283.947,110
vt,2,5570.003,486.0895,-3.103498,0.3317308,y,y,1283.947,110
vt,2.5,4503.832,510.4619,-3.357421,0.3811039,y,y,1283.947,110
vt,3,4465.777,934.3373,-3.850722,0.5382936,y,y,1283.947,110
de,1,3762.17,202.2128,-2.25986,0.2982712,y,y,759.7742,48
de,2,2636.913,191.8972,-1.688956,0.594949,y,y,759.7742,48
de,3,2249.782,206.3208,-2.380835,0.4859361,y,y,759.7742,48
ny,1,5965.569,380.8328,-3.093692,0.2438247,y,y,970.0929,48
ny,2,4143.54,341.2531,-2.800902,0.3667222,y,y,970.0929,48
ny,3,2645.012,344.3175,-2.830714,0.5698446,y,y,970.0929,48
ma,1,7514.922,733.9737,-2.965191,0.3977224,y,y,1974.821,48
ma,2,5551.038,623.7233,-2.295023,0.7340779,y,y,1974.821,48
ma,3,3898.399,1210.5775,-3.674325,0.8843915,y,y,1974.821,48
pa,1,6247.123,458.5445,-3.464043,0.2339668,y,y,918.4008,48
pa,2,5028.463,321.3402,-2.782327,0.2876562,y,y,918.4008,48
pa,3,3270.931,314.3908,-2.700821,0.4547631,y,y,918.4008,48
md,1,8239.257,753.3851,-2.748924,0.4198987,y,y,2173.27,48
md,2,8544.181,651.0153,-1.877398,0.859576,y,y,2173.27,48
md,3,5508.618,871.0687,-3.135992,0.5917076,y,y,2173.27,48