site,block,pd,rye_bio,soil_n,soil_pH,soil_p,GDD,rate
de,1,1,3936,na,na,na,1738.78,60
de,1,1,2224,na,na,na,1738.78,120
de,1,1,3176,na,na,na,1738.78,90
de,1,1,2504,na,na,na,1738.78,30
de,1,1,2072,na,na,na,1738.78,10
de,1,1,0,na,na,na,1738.78,0
de,2,1,0,na,na,na,1738.78,0
de,2,1,3120,na,na,na,1738.78,30
de,2,1,2080,na,na,na,1738.78,10
de,2,1,3376,na,na,na,1738.78,90
de,2,1,3760,na,na,na,1738.78,60
de,2,1,3640,na,na,na,1738.78,120
de,3,1,2904,na,na,na,1738.78,10
de,3,1,3096,na,na,na,1738.78,120
de,3,1,0,na,na,na,1738.78,0
de,3,1,5120,na,na,na,1738.78,60
de,3,1,5784,na,na,na,1738.78,30
de,3,1,4632,na,na,na,1738.78,90
de,4,1,4152,na,na,na,1738.78,120
de,4,1,2560,na,na,na,1738.78,10
de,4,1,3408,na,na,na,1738.78,90
de,4,1,0,na,na,na,1738.78,0
de,4,1,5520,na,na,na,1738.78,30
de,4,1,2816,na,na,na,1738.78,60
de,1,2,2568,na,na,na,1357.19,90
de,1,2,0,na,na,na,1357.19,0
de,1,2,2560,na,na,na,1357.19,150
de,1,2,4160,na,na,na,1357.19,60
de,1,2,2824,na,na,na,1357.19,120
de,1,2,3480,na,na,na,1357.19,30
de,1,2,2448,na,na,na,1357.19,10
de,2,2,2056,na,na,na,1357.19,120
de,2,2,2680,na,na,na,1357.19,10
de,2,2,0,na,na,na,1357.19,0
de,2,2,1776,na,na,na,1357.19,30
de,2,2,2864,na,na,na,1357.19,90
de,2,2,1960,na,na,na,1357.19,60
de,2,2,3880,na,na,na,1357.19,150
de,3,2,1952,na,na,na,1357.19,150
de,3,2,2744,na,na,na,1357.19,30
de,3,2,2064,na,na,na,1357.19,120
de,3,2,0,na,na,na,1357.19,0
de,3,2,4856,na,na,na,1357.19,90
de,3,2,2632,na,na,na,1357.19,10
de,3,2,2440,na,na,na,1357.19,60
de,4,2,1328,na,na,na,1357.19,90
de,4,2,1408,na,na,na,1357.19,10
de,4,2,0,na,na,na,1357.19,0
de,4,2,3072,na,na,na,1357.19,150
de,4,2,2432,na,na,na,1357.19,60
de,4,2,2456,na,na,na,1357.19,30
de,4,2,2160,na,na,na,1357.19,120
de,1,3,0,na,na,na,1244.79,0
de,1,3,2880,na,na,na,1244.79,30
de,1,3,2000,na,na,na,1244.79,60
de,1,3,2624,na,na,na,1244.79,120
de,1,3,2008,na,na,na,1244.79,10
de,1,3,3056,na,na,na,1244.79,90
de,1,3,2528,na,na,na,1244.79,150
de,2,3,1712,na,na,na,1244.79,150
de,2,3,2408,na,na,na,1244.79,120
de,2,3,0,na,na,na,1244.79,0
de,2,3,1136,na,na,na,1244.79,60
de,2,3,1592,na,na,na,1244.79,90
de,2,3,1904,na,na,na,1244.79,30
de,2,3,1432,na,na,na,1244.79,10
de,3,3,0,na,na,na,1244.79,0
de,3,3,2416,na,na,na,1244.79,150
de,3,3,2744,na,na,na,1244.79,120
de,3,3,1400,na,na,na,1244.79,10
de,3,3,2912,na,na,na,1244.79,30
de,3,3,2456,na,na,na,1244.79,60
de,3,3,1936,na,na,na,1244.79,90
de,4,3,960,na,na,na,1244.79,30
de,4,3,2728,na,na,na,1244.79,90
de,4,3,1080,na,na,na,1244.79,150
de,4,3,960,na,na,na,1244.79,10
de,4,3,0,na,na,na,1244.79,0
de,4,3,2936,na,na,na,1244.79,120
de,4,3,1280,na,na,na,1244.79,60
ma,1,1,2916,13.058,6.62,499,1528.82,15
ma,1,1,0,13.058,6.62,499,1528.82,0
ma,1,1,3662,13.058,6.62,499,1528.82,60
ma,1,1,9388,13.058,6.62,499,1528.82,90
ma,1,1,9920,13.058,6.62,499,1528.82,120
ma,1,1,13686,13.058,6.62,499,1528.82,30
ma,2,1,6072,13.058,6.62,499,1528.82,60
ma,2,1,4636,13.058,6.62,499,1528.82,30
ma,2,1,5080,13.058,6.62,499,1528.82,90
ma,2,1,8600,13.058,6.62,499,1528.82,120
ma,2,1,6002,13.058,6.62,499,1528.82,15
ma,2,1,0,13.058,6.62,499,1528.82,0
ma,3,1,0,13.058,6.62,499,1528.82,0
ma,3,1,4600,13.058,6.62,499,1528.82,15
ma,3,1,5716,13.058,6.62,499,1528.82,120
ma,3,1,7582,13.058,6.62,499,1528.82,90
ma,3,1,522,13.058,6.62,499,1528.82,30
ma,3,1,10320,13.058,6.62,499,1528.82,60
ma,1,2,2428,7.9085,6.8,478,1265.03,90
ma,1,2,2400,7.9085,6.8,478,1265.03,120
ma,1,2,3258,7.9085,6.8,478,1265.03,15
ma,1,2,0,7.9085,6.8,478,1265.03,0
ma,1,2,7176,7.9085,6.8,478,1265.03,30
ma,1,2,7312,7.9085,6.8,478,1265.03,60
ma,2,2,4880,7.9085,6.8,478,1265.03,15
ma,2,2,4682,7.9085,6.8,478,1265.03,60
ma,2,2,4524,7.9085,6.8,478,1265.03,120
ma,2,2,8550,7.9085,6.8,478,1265.03,90
ma,2,2,5342,7.9085,6.8,478,1265.03,30
ma,2,2,0,7.9085,6.8,478,1265.03,0
ma,3,2,4830,7.9085,6.8,478,1265.03,15
ma,3,2,5562,7.9085,6.8,478,1265.03,60
ma,3,2,6554,7.9085,6.8,478,1265.03,90
ma,3,2,6724,7.9085,6.8,478,1265.03,120
ma,3,2,0,7.9085,6.8,478,1265.03,0
ma,3,2,5416,7.9085,6.8,478,1265.03,30
ma,1,3,980,6.256,6.77,489,908.59,30
ma,1,3,0,6.256,6.77,489,908.59,0
ma,1,3,2562,6.256,6.77,489,908.59,90
ma,1,3,5162,6.256,6.77,489,908.59,120
ma,1,3,1770,6.256,6.77,489,908.59,15
ma,1,3,3198,6.256,6.77,489,908.59,60
ma,2,3,2678,6.256,6.77,489,908.59,60
ma,2,3,4020,6.256,6.77,489,908.59,90
ma,2,3,3602,6.256,6.77,489,908.59,120
ma,2,3,0,6.256,6.77,489,908.59,0
ma,2,3,2718,6.256,6.77,489,908.59,30
ma,2,3,1858,6.256,6.77,489,908.59,15
ma,3,3,2832,6.256,6.77,489,908.59,90
ma,3,3,0,6.256,6.77,489,908.59,0
ma,3,3,3976,6.256,6.77,489,908.59,120
ma,3,3,3316,6.256,6.77,489,908.59,60
ma,3,3,2312,6.256,6.77,489,908.59,30
ma,3,3,2252,6.256,6.77,489,908.59,15
md,1,1,0,13.901,6.58,63,1867.48,0
md,1,1,6184,13.901,6.58,63,1867.48,15
md,1,1,11124,13.901,6.58,63,1867.48,30
md,1,1,7460,13.901,6.58,63,1867.48,60
md,1,1,7056,13.901,6.58,63,1867.48,90
md,1,1,6064,13.901,6.58,63,1867.48,120
md,2,1,4492,13.901,6.58,63,1867.48,30
md,2,1,9772,13.901,6.58,63,1867.48,90
md,2,1,0,13.901,6.58,63,1867.48,0
md,2,1,9416,13.901,6.58,63,1867.48,60
md,2,1,1896,13.901,6.58,63,1867.48,15
md,3,1,5420,13.901,6.58,63,1867.48,120
md,3,1,11552,13.901,6.58,63,1867.48,120
md,3,1,0,13.901,6.58,63,1867.48,0
md,3,1,7788,13.901,6.58,63,1867.48,60
md,3,1,7636,13.901,6.58,63,1867.48,90
md,3,1,5776,13.901,6.58,63,1867.48,15
md,3,1,10008,13.901,6.58,63,1867.48,30
md,1,2,0,25.0335,6.53,56,1515.98,0
md,1,2,6832,25.0335,6.53,56,1515.98,120
md,1,2,4964,25.0335,6.53,56,1515.98,60
md,1,2,6548,25.0335,6.53,56,1515.98,90
md,1,2,6192,25.0335,6.53,56,1515.98,15
md,1,2,7084,25.0335,6.53,56,1515.98,30
md,2,2,11248,25.0335,6.53,56,1515.98,60
md,2,2,11228,25.0335,6.53,56,1515.98,15
md,2,2,0,25.0335,6.53,56,1515.98,0
md,2,2,10660,25.0335,6.53,56,1515.98,120
md,2,2,10740,25.0335,6.53,56,1515.98,90
md,2,2,13332,25.0335,6.53,56,1515.98,30
md,3,2,6340,25.0335,6.53,56,1515.98,90
md,3,2,8208,25.0335,6.53,56,1515.98,60
md,3,2,9876,25.0335,6.53,56,1515.98,30
md,3,2,0,25.0335,6.53,56,1515.98,0
md,3,2,7240,25.0335,6.53,56,1515.98,120
md,3,2,5600,25.0335,6.53,56,1515.98,15
md,1,3,5020,10.971,6.91,76,1202.01,15
md,1,3,4168,10.971,6.91,76,1202.01,30
md,1,3,0,10.971,6.91,76,1202.01,0
md,1,3,5860,10.971,6.91,76,1202.01,120
md,1,3,5704,10.971,6.91,76,1202.01,90
md,1,3,4456,10.971,6.91,76,1202.01,60
md,2,3,0,10.971,6.91,76,1202.01,0
md,2,3,3352,10.971,6.91,76,1202.01,30
md,2,3,6256,10.971,6.91,76,1202.01,90
md,2,3,10764,10.971,6.91,76,1202.01,120
md,2,3,5232,10.971,6.91,76,1202.01,15
md,2,3,6348,10.971,6.91,76,1202.01,60
md,3,3,1720,10.971,6.91,76,1202.01,30
md,3,3,2700,10.971,6.91,76,1202.01,15
md,3,3,2956,10.971,6.91,76,1202.01,120
md,3,3,3908,10.971,6.91,76,1202.01,90
md,3,3,0,10.971,6.91,76,1202.01,0
md,3,3,2508,10.971,6.91,76,1202.01,60
ny,1,1,8208,48.324,5.16,39,1399.5,120
ny,2,1,6024,48.324,5.16,39,1399.5,120
ny,3,1,0,48.324,5.16,39,1399.5,0
ny,1,1,5380,48.324,5.16,39,1399.5,90
ny,2,1,5260,48.324,5.16,39,1399.5,60
ny,3,1,5740,48.324,5.16,39,1399.5,90
ny,1,1,1980,48.324,5.16,39,1399.5,15
ny,2,1,6688,48.324,5.16,39,1399.5,90
ny,3,1,5580,48.324,5.16,39,1399.5,30
ny,1,1,0,48.324,5.16,39,1399.5,0
ny,2,1,3068,48.324,5.16,39,1399.5,15
ny,3,1,6652,48.324,5.16,39,1399.5,120
ny,1,1,1552,48.324,5.16,39,1399.5,60
ny,2,1,5852,48.324,5.16,39,1399.5,30
ny,3,1,4732,48.324,5.16,39,1399.5,60
ny,1,1,6024,48.324,5.16,39,1399.5,30
ny,2,1,0,48.324,5.16,39,1399.5,0
ny,3,1,3548,48.324,5.16,39,1399.5,15
ny,1,2,4124,28.6895,5.38,37,999,90
ny,2,2,3228,28.6895,5.38,37,999,120
ny,3,2,3600,28.6895,5.38,37,999,30
ny,1,2,3448,28.6895,5.38,37,999,15
ny,2,2,3340,28.6895,5.38,37,999,60
ny,3,2,3092,28.6895,5.38,37,999,60
ny,1,2,0,28.6895,5.38,37,999,0
ny,2,2,2756,28.6895,5.38,37,999,15
ny,3,2,4600,28.6895,5.38,37,999,120
ny,1,2,4904,28.6895,5.38,37,999,120
ny,2,2,3972,28.6895,5.38,37,999,90
ny,3,2,0,28.6895,5.38,37,999,0
ny,1,2,3728,28.6895,5.38,37,999,60
ny,2,2,3280,28.6895,5.38,37,999,30
ny,3,2,1788,28.6895,5.38,37,999,15
ny,1,2,4472,28.6895,5.38,37,999,30
ny,2,2,0,28.6895,5.38,37,999,0
ny,3,2,5604,28.6895,5.38,37,999,90
ny,1,3,2932,31.193,5.26,48,891,60
ny,2,3,1784,31.193,5.26,48,891,120
ny,3,3,2888,31.193,5.26,48,891,120
ny,1,3,1548,31.193,5.26,48,891,15
ny,2,3,1916,31.193,5.26,48,891,30
ny,3,3,3096,31.193,5.26,48,891,60
ny,1,3,3572,31.193,5.26,48,891,30
ny,2,3,1064,31.193,5.26,48,891,15
ny,3,3,2116,31.193,5.26,48,891,15
ny,1,3,3888,31.193,5.26,48,891,90
ny,2,3,1832,31.193,5.26,48,891,90
ny,3,3,1840,31.193,5.26,48,891,30
ny,1,3,2736,31.193,5.26,48,891,120
ny,2,3,1436,31.193,5.26,48,891,60
ny,3,3,0,31.193,5.26,48,891,0
ny,1,3,0,31.193,5.26,48,891,0
ny,2,3,0,31.193,5.26,48,891,0
ny,3,3,2820,31.193,5.26,48,891,90
pa,1,1,5568,12.8875,5.74,20,1504.28,90
pa,1,1,4740,12.8875,5.74,20,1504.28,120
pa,1,1,5516,12.8875,5.74,20,1504.28,60
pa,1,1,0,12.8875,5.74,20,1504.28,0
pa,1,1,1948,12.8875,5.74,20,1504.28,15
pa,1,1,5992,12.8875,5.74,20,1504.28,30
pa,2,1,3192,12.8875,5.74,20,1504.28,30
pa,2,1,2132,12.8875,5.74,20,1504.28,15
pa,2,1,6736,12.8875,5.74,20,1504.28,60
pa,2,1,7188,12.8875,5.74,20,1504.28,120
pa,2,1,7136,12.8875,5.74,20,1504.28,90
pa,2,1,0,12.8875,5.74,20,1504.28,0
pa,3,1,2224,12.8875,5.74,20,1504.28,15
pa,3,1,0,12.8875,5.74,20,1504.28,0
pa,3,1,5256,12.8875,5.74,20,1504.28,90
pa,3,1,4580,12.8875,5.74,20,1504.28,30
pa,3,1,3812,12.8875,5.74,20,1504.28,60
pa,3,1,6472,12.8875,5.74,20,1504.28,120
pa,1,2,0,19.774,5.51,21,1224.28,0
pa,1,2,3424,19.774,5.51,21,1224.28,30
pa,1,2,6004,19.774,5.51,21,1224.28,90
pa,1,2,4040,19.774,5.51,21,1224.28,15
pa,1,2,5032,19.774,5.51,21,1224.28,60
pa,1,2,6320,19.774,5.51,21,1224.28,120
pa,2,2,3092,19.774,5.51,21,1224.28,15
pa,2,2,2832,19.774,5.51,21,1224.28,60
pa,2,2,6072,19.774,5.51,21,1224.28,120
pa,2,2,4024,19.774,5.51,21,1224.28,90
pa,2,2,5484,19.774,5.51,21,1224.28,30
pa,2,2,0,19.774,5.51,21,1224.28,0
pa,3,2,6476,19.774,5.51,21,1224.28,120
pa,3,2,3804,19.774,5.51,21,1224.28,60
pa,3,2,5296,19.774,5.51,21,1224.28,30
pa,3,2,3576,19.774,5.51,21,1224.28,90
pa,3,2,2612,19.774,5.51,21,1224.28,15
pa,3,2,0,19.774,5.51,21,1224.28,0
pa,1,3,3312,8.8115,5.44,25,1074.01,120
pa,1,3,0,8.8115,5.44,25,1074.01,0
pa,1,3,3432,8.8115,5.44,25,1074.01,30
pa,1,3,3052,8.8115,5.44,25,1074.01,60
pa,1,3,3496,8.8115,5.44,25,1074.01,90
pa,1,3,2732,8.8115,5.44,25,1074.01,15
pa,2,3,2732,8.8115,5.44,25,1074.01,90
pa,2,3,1632,8.8115,5.44,25,1074.01,15
pa,2,3,2608,8.8115,5.44,25,1074.01,30
pa,2,3,3964,8.8115,5.44,25,1074.01,120
pa,2,3,0,8.8115,5.44,25,1074.01,0
pa,2,3,3712,8.8115,5.44,25,1074.01,60
pa,3,3,0,8.8115,5.44,25,1074.01,0
pa,3,3,1712,8.8115,5.44,25,1074.01,90
pa,3,3,2140,8.8115,5.44,25,1074.01,30
pa,3,3,3120,8.8115,5.44,25,1074.01,60
pa,3,3,2728,8.8115,5.44,25,1074.01,15
pa,3,3,4504,8.8115,5.44,25,1074.01,120
vt,1,1,5632.404544,17.9205,6.94,48,1369.76,30
vt,1,1,9513.74308,17.9205,6.94,48,1369.76,120
vt,1,1,7512.8758,17.9205,6.94,48,1369.76,60
vt,1,1,0,17.9205,6.94,48,1369.76,0
vt,1,1,5041.890704,17.9205,6.94,48,1369.76,15
vt,1,1,6742.996452,17.9205,6.94,48,1369.76,90
vt,2,1,0,17.9205,6.94,48,1369.76,0
vt,2,1,3877.243435,17.9205,6.94,48,1369.76,30
vt,2,1,6628.333568,17.9205,6.94,48,1369.76,90
vt,2,1,5678.269696,17.9205,6.94,48,1369.76,120
vt,2,1,4652.036904,17.9205,6.94,48,1369.76,60
vt,2,1,4701.99716,17.9205,6.94,48,1369.76,15
vt,3,1,8545.660752,17.9205,6.94,48,1369.76,120
vt,3,1,5994.41164,17.9205,6.94,48,1369.76,60
vt,3,1,5424.373316,17.9205,6.94,48,1369.76,90
vt,3,1,0,17.9205,6.94,48,1369.76,0
vt,3,1,5843.711852,17.9205,6.94,48,1369.76,15
vt,3,1,378.3056068,17.9205,6.94,48,1369.76,30
vt,4,1,8553.85096,17.9205,6.94,48,1369.76,15
vt,4,1,7204.10504,17.9205,6.94,48,1369.76,30
vt,4,1,7421.145492,17.9205,6.94,48,1369.76,90
vt,4,1,9390.889992,17.9205,6.94,48,1369.76,120
vt,4,1,0,17.9205,6.94,48,1369.76,0
vt,4,1,9729.145492,17.9205,6.94,48,1369.76,60
vt,1,1.5,6434.120664,27.132,7.12,31,1162.26,60
vt,1,1.5,5327.605832,27.132,7.12,31,1162.26,30
vt,1,1.5,0,27.132,7.12,31,1162.26,0
vt,1,1.5,3433.415787,27.132,7.12,31,1162.26,15
vt,1,1.5,7117.348416,27.132,7.12,31,1162.26,120
vt,1,1.5,9353.152336,27.132,7.12,31,1162.26,90
vt,2,1.5,1839.217697,27.132,7.12,31,1162.26,15
vt,2,1.5,0,27.132,7.12,31,1162.26,0
vt,2,1.5,5098.292608,27.132,7.12,31,1162.26,120
vt,2,1.5,4690.711916,27.132,7.12,31,1162.26,60
vt,2,1.5,3236.300654,27.132,7.12,31,1162.26,90
vt,2,1.5,3726.339869,27.132,7.12,31,1162.26,30
vt,3,1.5,0,27.132,7.12,31,1162.26,0
vt,3,1.5,3647.807944,27.132,7.12,31,1162.26,90
vt,3,1.5,3200.961287,27.132,7.12,31,1162.26,30
vt,3,1.5,7232.790348,27.132,7.12,31,1162.26,120
vt,3,1.5,5458.754148,27.132,7.12,31,1162.26,60
vt,3,1.5,3881.833082,27.132,7.12,31,1162.26,15
vt,4,1.5,5738.327804,27.132,7.12,31,1162.26,90
vt,4,1.5,5394.357968,27.132,7.12,31,1162.26,30
vt,4,1.5,5588.331824,27.132,7.12,31,1162.26,60
vt,4,1.5,5760.316744,27.132,7.12,31,1162.26,120
vt,4,1.5,0,27.132,7.12,31,1162.26,0
vt,4,1.5,1689.22172,27.132,7.12,31,1162.26,15
vt,1,2,2129.756118,27.3615,7.06,50,1043.26,30
vt,1,2,0,27.3615,7.06,50,1043.26,0
vt,1,2,7185.053672,27.3615,7.06,50,1043.26,120
vt,1,2,6842.644052,27.3615,7.06,50,1043.26,60
vt,1,2,6156.239588,27.3615,7.06,50,1043.26,90
vt,1,2,2758.2997,27.3615,7.06,50,1043.26,15
vt,2,2,0,27.3615,7.06,50,1043.26,0
vt,2,2,4915.797336,27.3615,7.06,50,1043.26,30
vt,2,2,5996.924,27.3615,7.06,50,1043.26,90
vt,2,2,5199.553456,27.3615,7.06,50,1043.26,120
vt,2,2,2201.88407,27.3615,7.06,50,1043.26,15
vt,2,2,6445.544012,27.3615,7.06,50,1043.26,60
vt,3,2,3865.582654,27.3615,7.06,50,1043.26,90
vt,3,2,6310.006868,27.3615,7.06,50,1043.26,120
vt,3,2,5061.638472,27.3615,7.06,50,1043.26,15
vt,3,2,0,27.3615,7.06,50,1043.26,0
vt,3,2,3615.908974,27.3615,7.06,50,1043.26,30
vt,3,2,4335.603264,27.3615,7.06,50,1043.26,60
vt,4,2,3468.48261,27.3615,7.06,50,1043.26,60
vt,4,2,5840.778876,27.3615,7.06,50,1043.26,120
vt,4,2,4896.77458,27.3615,7.06,50,1043.26,30
vt,4,2,4216.711036,27.3615,7.06,50,1043.26,90
vt,4,2,3815.647918,27.3615,7.06,50,1043.26,15
vt,4,2,0,27.3615,7.06,50,1043.26,0
vt,1,2.5,3083.483871,12.8805,6.6,81,923.26,60
vt,1,2.5,1825.16129,12.8805,6.6,81,923.26,15
vt,1,2.5,0,12.8805,6.6,81,923.26,0
vt,1,2.5,3335.741936,12.8805,6.6,81,923.26,30
vt,1,2.5,4706.096776,12.8805,6.6,81,923.26,120
vt,1,2.5,4993.225808,12.8805,6.6,81,923.26,90
vt,2,2.5,2634.612903,12.8805,6.6,81,923.26,30
vt,2,2.5,4109.580644,12.8805,6.6,81,923.26,60
vt,2,2.5,4231.258064,12.8805,6.6,81,923.26,120
vt,2,2.5,5589,12.8805,6.6,81,923.26,90
vt,2,2.5,0,12.8805,6.6,81,923.26,0
vt,2,2.5,2189.451613,12.8805,6.6,81,923.26,15
vt,3,2.5,6025.258064,12.8805,6.6,81,923.26,120
vt,3,2.5,3740.83871,12.8805,6.6,81,923.26,60
vt,3,2.5,3707.451613,12.8805,6.6,81,923.26,30
vt,3,2.5,0,12.8805,6.6,81,923.26,0
vt,3,2.5,3438.129032,12.8805,6.6,81,923.26,90
vt,3,2.5,3161.387097,12.8805,6.6,81,923.26,15
vt,4,2.5,0,12.8805,6.6,81,923.26,0
vt,4,2.5,3317.935484,12.8805,6.6,81,923.26,30
vt,4,2.5,4341.064516,12.8805,6.6,81,923.26,120
vt,4,2.5,3588.741936,12.8805,6.6,81,923.26,90
vt,4,2.5,2711.032258,12.8805,6.6,81,923.26,60
vt,4,2.5,1909,12.8805,6.6,81,923.26,15
vt,1,3,2768.731273,11.8755,6.05,51,800.26,90
vt,1,3,2593.964379,11.8755,6.05,51,800.26,30
vt,1,3,810.2828708,11.8755,6.05,51,800.26,15
vt,1,3,3117.205867,11.8755,6.05,51,800.26,60
vt,1,3,0,11.8755,6.05,51,800.26,0
vt,1,3,3776.024096,11.8755,6.05,51,800.26,120
vt,2,3,517.9455212,11.8755,6.05,51,800.26,15
vt,2,3,2550.537454,11.8755,6.05,51,800.26,120
vt,2,3,2048.479832,11.8755,6.05,51,800.26,30
vt,2,3,3718.827658,11.8755,6.05,51,800.26,90
vt,2,3,2728.481928,11.8755,6.05,51,800.26,60
vt,2,3,0,11.8755,6.05,51,800.26,0
vt,3,3,0,11.8755,6.05,51,800.26,0
vt,3,3,776.3886852,11.8755,6.05,51,800.26,15
vt,3,3,5093.660556,11.8755,6.05,51,800.26,60
vt,3,3,5120.140388,11.8755,6.05,51,800.26,90
vt,3,3,2232.779466,11.8755,6.05,51,800.26,30
vt,3,3,5416.714512,11.8755,6.05,51,800.26,120
vt,4,3,1729.662651,11.8755,6.05,51,800.26,30
vt,4,3,3903.127292,11.8755,6.05,51,800.26,120
vt,4,3,4213.470928,11.8755,6.05,51,800.26,60
vt,4,3,0,11.8755,6.05,51,800.26,0
vt,4,3,4865.933996,11.8755,6.05,51,800.26,90
vt,4,3,2060.130959,11.8755,6.05,51,800.26,15